,title,url,sf_url,location,updated_at,Chất lượng,Giá cả,ImgURL,Không gian,Latitude,Location,Longitude,Phục vụ,Vị trí
10,Ngọc Chung - Cơm & Các Món Xào,https://www.foody.vn/ha-noi/ngoc-chung-com-cac-mon-xao,https://shopeefood.vn/ha-noi/ngoc-chung-com-cac-mon-xao,"56 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội",11/12/2023 3:10,4.3,2.7,https://media.foody.vn/res/g31/300318/prof/s/foody-upload-api-foody-mobile-com-190702095300.jpg,5.7,21.032987,"56 Đào Tấn, P. Cống Vị",105.807862,4.7,6.3
11,Bánh Xèo & Nem Lụi - 140 Đội Cấn,https://www.foody.vn/ha-noi/banh-xeo-nem-lui-140-doi-can,https://shopeefood.vn/ha-noi/banh-xeo-nem-lui-140-doi-can,"Ngõ 140 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội",11/12/2023 3:10,5.5,7.8,https://media.foody.vn/res/g68/672353/prof/s/foody-mobile-foody-banh-xeo-nem-l-877-636349540661579716.jpg,5.0,21.0348517,"Ngõ 140 Đội Cấn, P. Liễu Giai",105.8251398,5.7,6.8
12,An Cựu - Bún Bò Huế - Đội Cấn,https://www.foody.vn/ha-noi/an-cuu-bun-bo-hue-doi-can,https://shopeefood.vn/ha-noi/an-cuu-bun-bo-hue-doi-can,"151 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.4,7.7,https://media.foody.vn/res/g97/963777/prof/s/foody-upload-api-foody-mobile-foody-upload-api-foo-191001141828.jpg,7.4,21.0351044,"151 Đội Cấn, P. Đội Cấn",105.8266281,8.2,7.9
13,Bánh Chuối An Giang,https://www.foody.vn/ha-noi/banh-chuoi-an-giang,https://shopeefood.vn/ha-noi/banh-chuoi-an-giang,"51 Ngõ 135 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g105/1047477/prof/s/foody-upload-api-foody-mobile-50-200921100133.jpg,10.0,21.035932,"51 Ngõ 135 Đội Cấn, P. Ngọc Hà",105.828069,10.0,10.0
14,Trà Sữa TocoToco - 72 Thành Công,https://www.foody.vn/ha-noi/tra-sua-tocotoco-72-thanh-cong,https://shopeefood.vn/ha-noi/tra-sua-tocotoco-72-thanh-cong,"72 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,1.0,1.0,https://media.foody.vn/res/g116/1154554/prof/s/image-2f9843fd-231005120335.jpeg,1.0,21.0234235,"72 Thành Công, P. Thành Công",105.8164281,1.0,1.0
15,Cúc Phương - Bò Nướng,https://www.foody.vn/ha-noi/cuc-phuong-bo-nuong,https://www.foody.vn/ha-noi/cuc-phuong-bo-nuong,"51 Hàng Đậu, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.8,6.6,https://media.foody.vn/res/g106/1051064/prof/s/foody-upload-api-foody-mobile-53-201014154418.jpg,6.5,21.040228,51 Hàng Đậu,105.8480084,6.6,6.6
16,Lẩu Béo - Nguyễn Trung Trực,https://www.foody.vn/ha-noi/lau-beo-nguyen-trung-truc,https://shopeefood.vn/ha-noi/lau-beo-nguyen-trung-truc,"30 Nguyễn Trung Trực, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.8,6.6,https://media.foody.vn/res/g107/1064903/prof/s/file_restaurant_photo_lytt_16132-bc3783d9-210213141218.jpeg,6.5,21.0409084,"30 Nguyễn Trung Trực, P. Nguyễn Trung Trực",105.8477757,6.6,6.5
17,Foodfest - Go Go Chicken Hàng Than - Nowfood x Coca,https://www.foody.vn/ha-noi/foodfest-go-go-chicken-hang-than-nowfood-x-coca,https://shopeefood.vn/ha-noi/foodfest-go-go-chicken-hang-than-nowfood-x-coca,"65 Hàng Than, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.5,6.6,https://media.foody.vn/res/g103/1024448/prof/s/foody-upload-api-foody-mobile-gogo-chicken-200523094953.jpg,6.7,21.040723,65 Hàng Than,105.847593,6.7,6.6
18,Chè Gỗ - Trần Phú,https://www.foody.vn/ha-noi/che-go-tran-phu,https://shopeefood.vn/ha-noi/che-go-tran-phu,"9 Trần Phú, Quận Ba Đình, Hà Nội",11/12/2023 3:10,9.3,9.2,https://media.foody.vn/res/g10/94264/prof/s/foody-upload-api-foody-mobile-chef-jpg-181106171647.jpg,8.6,21.0301579,9 Trần Phú,105.8435109,9.0,8.8
19,Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,https://www.foody.vn/ha-noi/bao-minh-dac-san-banh-co-truyen-hang-than,https://shopeefood.vn/ha-noi/bao-minh-dac-san-banh-co-truyen-hang-than,"12 Hàng Than, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.3,7.2,https://media.foody.vn/res/g22/219484/prof/s/foody-mobile-bao-mi-jpg.jpg,6.9,21.0426495,12 Hàng Than,105.8471601,6.8,7.6
20,"Bún Bò Nam Bộ, Bún Riêu Cua - Thành Công",https://www.foody.vn/ha-noi/bun-bo-nam-bo-bun-rieu-cua-thanh-cong,https://shopeefood.vn/ha-noi/bun-bo-nam-bo-bun-rieu-cua-thanh-cong,"108A khu A5 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g110/1097519/prof/s/foody-upload-api-foody-mobile-rc-3aea1e99-210822211044.jpeg,10.0,21.021165,"108A Khu A5 Thành Công, P. Thành Công",105.8135773,10.0,10.0
21,Quán Kệ - Lẩu Cua Đồng,https://www.foody.vn/ha-noi/quan-ke-lau-cua-dong,https://shopeefood.vn/ha-noi/quan-ke-lau-cua-dong,"271 Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.3,7.7,https://media.foody.vn/res/g1/9474/prof/s/foody-upload-api-foody-mobile-90a026d8-7272-4dd3-a-200420155040.jpg,7.6,21.0309637,"271 Kim Mã, P. Giảng Võ",105.8206555,8.3,7.8
22,Gà 36 - Đào Tấn,https://www.foody.vn/ha-noi/ga-36-dao-tan,https://shopeefood.vn/ha-noi/ga-36-dao-tan,"31A Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.1,7.1,https://media.foody.vn/res/g18/171002/prof/s/foody-upload-api-foody-mobile-ga-36-jpg-181218163932.jpg,7.0,21.0326965,"31A Đào Tấn, P. Ngọc Khánh",105.8074057,7.1,7.3
23,Chè Bà Thơm - Quán Thánh,https://www.foody.vn/ha-noi/che-ba-thom-quan-thanh,https://shopeefood.vn/ha-noi/che-ba-thom-quan-thanh,"146 Quán Thánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.2,7.6,https://media.foody.vn/res/g20/195475/prof/s/foody-mobile-che-ba-thom-jpg-303-636044396363757126.jpg,6.9,21.042561,146 Quán Thánh,105.841483,7.8,7.4
24,Tuyết - Bún Chả 34,https://www.foody.vn/ha-noi/tuyet-bun-cha-34,https://shopeefood.vn/ha-noi/tuyet-bun-cha-34,"34 Hàng Than, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.9,6.8,https://media.foody.vn/res/g3/29551/prof/s/foody-mobile-tuyet-bun-cha-jpg-892-636251101155936328.jpg,5.8,21.041303,34 Hàng Than,105.847304,6.4,7.0
25,Phở Cuốn Chinh Thắng,https://www.foody.vn/ha-noi/pho-cuon-chinh-thang,https://shopeefood.vn/ha-noi/pho-cuon-chinh-thang,"7 Mạc Đĩnh Chi, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.5,6.1,https://media.foody.vn/res/g7/68000/prof/s/foody-upload-api-foody-mobile-e8e2b448-139b-48e2-b-200611113644.jpg,5.5,21.0467494,7 Mạc Đĩnh Chi,105.841012,5.8,6.7
26,Bánh Cuốn Bà Xuân,https://www.foody.vn/ha-noi/banh-cuon-ba-xuan,https://shopeefood.vn/ha-noi/banh-cuon-ba-xuan,"16 Dốc Hòe Nhai, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.0,5.9,https://media.foody.vn/res/g21/206436/prof/s/foody-mobile-994747_1075512835816-830-635890733594912162.jpg,6.1,21.0421069,"16 Dốc Hòe Nhai, P. Nguyễn Trung Trực",105.8477019,5.8,7.0
27,Pizza 4P's - Pizza Kiểu Nhật - Liễu Giai,https://www.foody.vn/ha-noi/pizza-4p-s-pizza-kieu-nhat-lieu-giai,https://www.foody.vn/ha-noi/pizza-4p-s-pizza-kieu-nhat-lieu-giai,"Tầng 1, Lotte Department Store, 54 Liễu Giai, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.2,7.7,https://media.foody.vn/res/g88/870903/prof/s/foody-upload-api-foody-mobile-1-jpg-181225171401.jpg,8.0,21.031839,"Tầng 1, Lotte Department Store, 54 Liễu Giai",105.812847,8.6,8.3
28,Chè Thuỷ - Thành Công,https://www.foody.vn/ha-noi/che-thuy-thanh-cong,https://shopeefood.vn/ha-noi/che-thuy-thanh-cong,"105B A4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.8,7.8,https://media.foody.vn/res/g74/738374/prof/s/foody-upload-api-foody-mobile-thuy-jpg-180508161749.jpg,7.7,21.021023,"105B A4 Thành Công, P. Thành Công",105.813525,8.2,7.7
29,Ốc & Ăn Vặt - Thành Công,https://www.foody.vn/ha-noi/oc-thanh-cong,https://shopeefood.vn/ha-noi/oc-thanh-cong,"104A5 TT. Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.8,7.0,https://media.foody.vn/res/g32/315109/prof/s/foody-upload-api-foody-mobile-a5-dc3e5119-231007092503.jpg,6.7,21.021151,"104A5 TT. Thành Công, P. Thành Công",105.813333,6.7,6.6
30,Bún Bò Huế Nam Minh - Thành Công,https://www.foody.vn/ha-noi/bun-bo-hue-nam-minh-thanh-cong,https://shopeefood.vn/ha-noi/bun-bo-hue-nam-minh-thanh-cong,"115A4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g115/1148506/prof/s/foody-upload-api-foody-mobile-hi-09719f0a-220820124918.jpeg,10.0,21.021201,"115A4 Thành Công, P. Thành Công",105.813848,10.0,10.0
31,Bánh Mì Tuhu Bread - Thành Công,https://www.foody.vn/ha-noi/banh-mi-tuhu-bread-thanh-cong,https://shopeefood.vn/ha-noi/banh-mi-tuhu-bread-thanh-cong,"111 K7 Thành Công (Đối Diện 10A Thành Công), P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,5.8,6.0,https://media.foody.vn/res/g101/1004882/prof/s/image-239ea4d1-231103135747.jpeg,5.0,21.021604,"111 K7 Thành Công (Đối Diện 10A Thành Công), P. Thành Công",105.815699,5.8,5.8
32,Phương Hoa - Bún Thái Hải Sản Tươi Sống & Bún Cá Chấm - Tập Thể Thành Công,https://www.foody.vn/ha-noi/phuong-hoa-bun-thai-hai-san-tuoi-song-bun-ca-cham-tap-the-thanh-cong,https://shopeefood.vn/ha-noi/phuong-hoa-bun-thai-hai-san-tuoi-song-bun-ca-cham-tap-the-thanh-cong,"109 B2 Tập Thể Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.8,7.2,https://media.foody.vn/res/g9/83415/prof/s/foody-upload-api-foody-mobile-anh-bia-phuong-hoa-b-210326141108.jpg,7.0,21.0214218,"109 B2 Tập Thể Thành Công, P. Thành Công",105.8155774,7.5,7.3
33,Le Pasto - Cơm Văn Phòng Online,https://www.foody.vn/ha-noi/le-pasto-com-van-phong-online,https://shopeefood.vn/ha-noi/le-pasto-com-van-phong-online,"41 Ngõ 97 Văn Cao, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.0,10.0,https://media.foody.vn/res/g77/760066/prof/s/foody-upload-api-foody-mobile-pasto-jpg-180713093322.jpg,7.5,21.03914,41 Ngõ 97 Văn Cao,105.816496,10.0,7.5
34,Trà Sữa Gong Cha - 貢茶 - Giảng Võ,https://www.foody.vn/ha-noi/tra-sua-gong-cha-giang-vo,https://shopeefood.vn/ha-noi/tra-sua-gong-cha-giang-vo,"Tầng 1, D2 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.8,6.8,https://media.foody.vn/res/g30/291783/prof/s/image-d4794a70-231124145915.jpeg,7.1,21.0261039,"Tầng 1, D2 Giảng Võ, P. Giảng Võ",105.8222383,7.4,7.7
35,Bánh Tráng Trảng Bàng - Láng Hạ,https://www.foody.vn/ha-noi/banh-trang-trang-bang-lang-ha,https://shopeefood.vn/ha-noi/banh-trang-trang-bang-lang-ha,"10 Lô B Ngõ 57 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,1.0,8.0,https://media.foody.vn/res/g104/1031432/prof/s/foody-upload-api-foody-mobile-230-200622133117.jpg,5.0,21.018881,"10 Lô B Ngõ 57 Láng Hạ, P. Thành Công",105.817841,1.0,5.0
36,"Gà Vị Mộc - Phở Gà, Bún Thang 100% KHÔNG MÌ CHÍNH",https://www.foody.vn/ha-noi/ga-vi-moc-pho-ga-bun-thang-100-khong-mi-chinh,https://shopeefood.vn/ha-noi/ga-vi-moc-pho-ga-bun-thang-100-khong-mi-chinh,"87 Giang Văn Minh, P. Đội Cấn, Quận Ba Đình, Hà Nội",11/12/2023 3:10,9.4,7.6,https://media.foody.vn/res/g100/993251/prof/s/foody-upload-api-foody-mobile-80537402_22023923731-191224141154.jpg,8.6,21.034159,"87 Giang Văn Minh, P. Đội Cấn",105.827059,9.6,9.0
37,Salut Restaurant - Ẩm Thực Nga,https://www.foody.vn/ha-noi/salut-restaurant-am-thuc-nga,https://shopeefood.vn/ha-noi/salut-restaurant-am-thuc-nga,"60 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,5.6,5.5,https://media.foody.vn/res/g7/68423/prof/s/foody-mobile-am-thuc-nag-jpg-131-636264708124280409.jpg,5.3,21.026572,"60 Ngọc Khánh, P. Giảng Võ",105.817899,6.0,6.0
38,"Tiệm Chè MeMe - Chè Bưởi, Cốt Dừa Cafe",https://www.foody.vn/ha-noi/tiem-che-meme-che-buoi-cot-dua-cafe,https://shopeefood.vn/ha-noi/tiem-che-meme-che-buoi-cot-dua-cafe,"19 Ngõ 158/2/49 Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội",11/12/2023 3:10,10.0,10.0,https://media.foody.vn/res/g108/1078613/prof/s/file_restaurant_photo_68bo_16212-8ee8f5df-210517135950.jpg,7.0,21.037658,"19 Ngõ 158/2/49 Ngọc Hà, P. Ngọc Hà",105.829004,10.0,8.0
39,Bún Ốc Cô Béo,https://www.foody.vn/ha-noi/bun-oc-co-beo,https://shopeefood.vn/ha-noi/bun-oc-co-beo,"2 Hòe Nhai, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.4,6.8,https://media.foody.vn/res/g2/16598/prof/s/foody-upload-api-foody-mobile-avar-190903093620.jpg,6.1,21.041469,2 Hòe Nhai,105.846813,6.5,7.2
40,Kem Xôi Chè Thái Lan - Giảng Võ,https://www.foody.vn/ha-noi/kem-xoi-che-thai-lan-giang-vo,https://shopeefood.vn/ha-noi/kem-xoi-che-thai-lan-giang-vo,"289 Kim Mã (117 A5 TT Giảng Võ ), P. Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.0,7.0,https://media.foody.vn/res/g7/61314/prof/s/foody-mobile-mobile-jpg-445-635761874631478094.jpg,6.5,21.030688,"289 Kim Mã (117 A5 TT Giảng Võ ), P. Giảng Võ",105.8186167,6.5,6.5
41,Cơm Rang Cay,https://www.foody.vn/ha-noi/com-rang-cay,https://shopeefood.vn/ha-noi/com-rang-cay,"73 Phạm Hồng Thái, P. Trúc Bạch, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.3,6.3,https://media.foody.vn/res/g29/283242/prof/s/foody-mobile-cr-cay-jpg-389-636117103004526641.jpg,6.0,21.044365,"73 Phạm Hồng Thái, P. Trúc Bạch",105.842862,6.5,6.5
42,Food Center Lake View - Hotel Hanoi,https://www.foody.vn/ha-noi/food-center-lake-view-hotel-hanoi,https://www.foody.vn/ha-noi/food-center-lake-view-hotel-hanoi,"Tầng 1, Hanoi Hotel, D8 Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.4,7.3,https://media.foody.vn/res/g2/16067/prof/s/foody-mobile-fo-jpg-792-636287393445022799.jpg,7.6,21.030089,"Tầng 1, Hanoi Hotel, D8 Giảng Võ",105.812985,7.1,7.7
43,Pizza 4P's - Pizza Kiểu Nhật - Phan Kế Bính,https://www.foody.vn/ha-noi/pizza-4p-s-pizza-kieu-nhat-phan-ke-binh,https://www.foody.vn/ha-noi/pizza-4p-s-pizza-kieu-nhat-phan-ke-binh,"5 Phan Kế Bính, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.5,7.3,https://media.foody.vn/res/g73/726040/prof/s/foody-upload-api-foody-mobile-4p-jpg-180321170936.jpg,8.8,21.034123,5 Phan Kế Bính,105.812743,8.9,8.2
44,Bánh Cốm Nguyên Ninh - Hàng Than,https://www.foody.vn/ha-noi/banh-com-nguyen-ninh,https://shopeefood.vn/ha-noi/banh-com-nguyen-ninh,"11 Dốc Hàng Than, Quận Ba Đình, Hà Nội",11/12/2023 3:10,6.2,6.0,https://media.foody.vn/res/g5/49974/prof/s/foody-mobile-4907738670_5b8185c53-703-635767035444805838.jpg,5.8,21.042806,11 Dốc Hàng Than,105.847116,5.8,6.5
45,Phở Lý Quốc Sư,https://www.foody.vn/ha-noi/pho-ly-quoc-su,https://www.foody.vn/ha-noi/pho-ly-quoc-su,"54 Thành Công , Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.0,5.9,https://media.foody.vn/res/g1/9066/prof/s/foody-mobile-pho-lqs-jpg-885-635779264350491988.jpg,6.0,21.023198,54 Thành Công,105.815973,5.9,6.2
46,Hà Thành Trà,https://www.foody.vn/ha-noi/ha-thanh-tra,https://shopeefood.vn/ha-noi/ha-thanh-tra,"93 Giang Văn Minh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.6,6.5,https://media.foody.vn/res/g3/27911/prof/s/foody-mobile-tra2-jpg-208-635882030415144927.jpg,6.6,21.0342961,93 Giang Văn Minh,105.8269991,7.0,7.3
47,Vân Chè - Chè Các Món,https://www.foody.vn/ha-noi/van-che-thanh-cong,https://shopeefood.vn/ha-noi/van-che-thanh-cong,"104AC2 Tập Thể Thành Công (Cổng Chợ Thành Công), P. Thành Công, Quận Ba Đình, Hà Nội",11/12/2023 3:10,9.3,9.2,https://media.foody.vn/res/g104/1032972/prof/s/foody-upload-api-foody-mobile-d1-200627153310.jpg,8.2,21.0228813,"104AC2 Tập Thể Thành Công (Cổng Chợ Thành Công), P. Thành Công",105.8155059,8.7,8.6
48,Bánh Mì - Kim Mã Thượng,https://www.foody.vn/ha-noi/banh-mi-kim-ma-thuong,https://shopeefood.vn/ha-noi/banh-mi-kim-ma-thuong,"10 Kim Mã Thượng (Đối Diện 19 Kim Mã Thượng), P. Cống Vị, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.4,8.4,https://media.foody.vn/res/g72/710255/prof/s/foody-mobile-foody-banh-mi-via-he.jpg,7.2,21.03593,"10 Kim Mã Thượng (Đối Diện 19 Kim Mã Thượng), P. Cống Vị",105.813641,7.8,7.8
49,Joma Bakery Cafe - Liễu Giai,https://www.foody.vn/ha-noi/joma-bakery-cafe-lieu-giai,https://shopeefood.vn/ha-noi/joma-bakery-cafe-lieu-giai,"38 Liễu Giai, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.4,5.9,https://media.foody.vn/res/g8/77046/prof/s/foody-mobile-joma-jpg-703-635784287960122024.jpg,6.8,21.034734,38 Liễu Giai,105.814192,6.8,7.1
50,Phở Tuấn,https://www.foody.vn/ha-noi/pho-tuan,https://shopeefood.vn/ha-noi/pho-tuan,"34B C8 Giảng Võ , P. Giảng Võ, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.6,7.4,https://media.foody.vn/res/g2/16117/prof/s/foody-mobile-pho-tuan-jpg-976-635779067825714811.jpg,5.9,21.0282556,"34B C8 Giảng Võ , P. Giảng Võ",105.8226942,6.8,6.8
51,Xôi Thịt Chả Trứng - Quán Thánh,https://www.foody.vn/ha-noi/xoi-thit-cha-trung-quan-thanh,https://shopeefood.vn/ha-noi/xoi-thit-cha-trung-quan-thanh,"112 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội",11/12/2023 3:10,8.0,9.0,https://media.foody.vn/res/g94/930100/prof/s/foody-upload-api-foody-mobile-xoi-190626165953.jpg,7.0,21.042301,"112 Quán Thánh, P. Quán Thánh",105.843317,8.0,8.0
52,NemZone - Nem Nướng Ngon Lạ,https://www.foody.vn/ha-noi/nemzone-nem-nuong-ngon-la,https://shopeefood.vn/ha-noi/nemzone-nem-nuong-ngon-la,"18 Ngõ 266 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.7,6.9,https://media.foody.vn/res/g29/288427/prof/s/foody-mobile-14470472_11318097769-472-636132446226895047.jpg,7.9,21.0370553,"18 Ngõ 266 Đội Cấn, P. Cống Vị",105.8139094,8.0,8.1
53,Quán Cũ - Bún Thang Cổ Truyền,https://www.foody.vn/ha-noi/quan-cu-bun-thang-co-truyen,https://shopeefood.vn/ha-noi/quan-cu-bun-thang-co-truyen,"31A Phan Đình Phùng , Quận Ba Đình, Hà Nội",11/12/2023 3:10,7.1,5.6,https://media.foody.vn/res/g1/9609/prof/s/foody-mobile-quan-cu-bun-thang-jp-272-635872872496512027.jpg,6.3,21.0401968,31A Phan Đình Phùng,105.8440856,5.5,7.4
